"numCDA","probRecuperacao","stsRecuperacao"
16610662063301,0.0191,0
16610662510301,0.0531,0
16611000323600,0.0001,0
16611006336600,0.0124,0
16615101112301,0.1045,0
16650100635201,0.3236,0
16650101135601,0.0003,0
16650101131501,0.0002,0
16650101260201,0.1302,0
16650102536601,3.8028,0
16650103062101,0.0293,0
16650103562501,43.1048,0
16650100515001,0.2090,0
16650103605201,1.2341,0
16650110603601,0.1969,0
16650111106301,0.3423,0
16650111223101,2.0032,0
16650116366601,11.1138,0
16650112333001,0.1887,0
16650111306001,0.1610,0
16650115131301,1.3357,0
16650115653001,98.3202,0
16650115063101,0.9132,0
16650110150601,4.0778,0
16650110133601,1.3615,0
16650110360006,2.5542,0
16650113313101,0.0001,0
16650160016301,99.9339,0
16650161635101,2.6823,0
16650166610601,0.3503,0
16650166611101,0.2928,0
16650162652101,4.7305,0
16650162635101,0.4728,0
16650162236301,1.7323,0
16650165130601,0.5591,0
16650601350101,3.1118,0
16650601650301,0.1332,0
16650601616001,3.1281,0
16650605266601,0.0161,0
16650605363101,3.0293,0
16650605033101,1.5574,0
16650603236501,0.0952,0
16650603515601,0.2260,0
16650600520001,0.9712,0
16650603550501,0.0935,0
16650606056101,45.6654,0
16650606030001,0.1561,0
16650606661001,2.7141,0
16650606231301,0.1452,0
16650606556001,5.0654,0
16650606611501,2.2777,0
16650610660501,2.8291,0
16650611625301,0.7241,0
16650611612001,7.8572,0
16650616612500,2.7731,0
16650615326201,5.0148,0
16650616615001,0.3130,0
16650660306201,2.5653,0
16650662030201,0.4656,0
16650665231100,0.8104,0
16630101360501,10.4917,0
16630106055201,0.0640,0
16630106525201,1.7578,0
16630106365001,5.9407,0
16630106012101,2.6524,0
16630102530601,11.4105,0
16630101166601,0.1008,0
16630105110301,0.0903,0
16630105015601,3.1198,0
16630103602501,0.0106,0
16630106662201,1.1660,0
16630106611101,0.1678,0
16630110130601,0.7191,0
16630110025001,3.2418,0
16630110660601,0.0306,0
16630111115501,1.5817,0
16630111022601,0.0004,0
16630116513601,4.8807,0
16630116336301,23.3498,0
16630112356301,0.0221,0
16630112335001,0.0186,0
16630112330001,0.0214,0
16630112333601,0.0186,0
16630112663301,0.0178,0
16630111515201,7.1670,0
16630111651001,6.9026,0
16630113300301,59.9914,0
16630601010001,0.6744,0
16630601126601,3.6329,0
16630606013301,9.0060,0
16630606162101,21.2414,0
16630606353301,3.7758,0
16630602136301,5.8822,0
16630602610601,21.9520,0
16630602200601,34.2911,0
16630601110601,0.7018,0
16630601650501,1.9970,0
16630605331501,6.2543,0
16630605360101,6.9734,0
16630603005101,3.1391,0
16630603021101,4.9842,0
16630603205301,14.2362,0
16630600366200,3.5553,0
16630600311500,7.8843,0
16630603661601,99.2830,0
16630606251601,27.7159,0
16630610165501,99.7198,0
16630611320601,0.6463,0
16630611036501,5.1511,0
16630205630001,6.6378,0
16600100050101,0.0966,0
16600100111101,2.1505,0
16600100166001,22.4762,0
16600100333201,0.5084,0
16600100630600,0.2094,0
16600101256001,22.2673,0
16600101105601,56.8456,0
16600101361301,99.8771,0
16600106565001,0.5410,0
16600106015301,2.5920,0
16600106660001,97.0986,0
16600102261001,0.8021,0
16600102316201,0.4372,0
16600102051001,4.9376,0
16600102060501,19.8980,0
16600101616101,78.6798,0
16600101361201,0.9222,0
16600105113001,10.6156,0
16600103115101,0.0070,0
16600100131301,1.5096,0
16600100136301,1.2919,0
16600100200601,1.0349,0
16600100566101,2.6076,0
16600103535101,0.0782,0
16600106011601,26.2033,0
16600106650201,13.3000,0
16600106550101,3.2946,0
16600106313001,0.2675,0
16600106616001,3.3489,0
16600110612001,19.9813,0
16600111336301,0.1269,0
16600116021501,11.7803,0
16600116121601,5.4356,0
16600116211301,3.5130,0
16600116366001,14.7156,0
16600112212501,0.0214,0
16600112233301,7.1975,0
16600111326601,52.1219,0
16600111313101,0.1799,0
16600115130001,0.5107,0
16600115361601,3.0524,0
16600113006001,19.0704,0
16600110235301,12.3083,0
